Ano	Mai	Set
1940	157.9	39.4
1941	405.5	72.9
1942	294.7	81.6
1943	120.0	79.7
1944	40.7	71.4
1945	29.6	116.6
1946	49.0	34.1
1947	183.4	162.6
1948	90.6	83.7
1949	49.4	136.6
1950	147.9	125.2
1951	42.2	159.2
1952	79.3	66.1
1953	78.3	183.3
1954	51.2	202.6
1955	84.7	187.3
1956	48.8	134.7
1957	75.3	171.6
1958	42.6	154.4
1959	159.8	175.9
1960	66.5	92.4
1961	58.4	252.8
1962	22.4	123.5
1963	41.1	115.7
1964	48.5	115.2
1965	92.0	240.5
1966	2.5	126.8
1967	40.9	297.8
1968	32.3	166.2
1969	95.6	84.1
1970	187.7	15.2
1971	84.6	65.9
1972	75.9	219.4
1973	125.0	138.1
1974	128.1	47.9
1975	87.4	157.7
1976	185.2	115.7
1977	72.7	72.9
1978	27.4	90.7
1979	140.6	107.3
1980	113.8	73.9
1981	50.5	194.7
1982	49.1	193.2
1983	172.2	56.0
1984	268.6	63.3
1985	110.9	150.6
1986	164.4	162.6
1987	200.9	126.2
1988	43.5	234.5
1989	61.9	145.3
1990	53.6	232.6
1991	32.9	59.8
1992	79.6	199.0
1993	184.9	72.2
1994	140.8	38.3
1995	64.9	184.6
1996	10.3	155.3
1997	63.7	52.9
1998	153.9	137.5
1999	111.3	107.9
2000	131.5	240.2
2001	44.5	159.0
2002	151.8	167.8
2003	46.0	56.2
2004	186.7	193.3
2005	153.7	164.3
2006	171.8	99.5
2007	136.9	175.1
2008	220.7	156.5
2009	106.1	293.7
2010	119.9	190.0
2011	50.1	53.0
2012	35.7	273.7
2013	65.3	135.3
2014	71.0	154.2
2015	136.0	184.0
2016	72.5	90.6
2017	184.1	164.7
2018	88.2	186.0
2019	245.1	91.9
2020	127.7	224.5
2021	167.1	201.3
2022	155.4	66.2
2023	114.8	447.3
2024	539.9	211.9

